pin,slack
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_reg[3]:ALn,
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_reg[3]:CLK,3970
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_reg[3]:D,
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_reg[3]:Q,3970
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[32]:A,2035
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[32]:B,2001
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[32]:C,1699
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[32]:D,1659
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[32]:Y,1659
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_mem_reg[1][2]:ALn,2833
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_mem_reg[1][2]:CLK,2421
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_mem_reg[1][2]:D,3970
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/shift_mem_reg[1][2]:Q,2421
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Set_Number_of_Events_L[14]:ALn,2833
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Set_Number_of_Events_L[14]:CLK,570
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Set_Number_of_Events_L[14]:D,3922
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Set_Number_of_Events_L[14]:EN,206
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Set_Number_of_Events_L[14]:Q,570
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[0]:ALn,2833
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[0]:CLK,-720
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[0]:D,3213
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[0]:EN,2504
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[0]:Q,-720
Data_Block_0/Event_Info_RAM_Block_0/PF_DPSRAM_C8_Event_Status_0/PF_DPSRAM_C8_Event_Status_0/PF_DPSRAM_C8_Event_Status_PF_DPSRAM_C8_Event_Status_0_PF_DPSRAM_R0C0/CFG_6:Y,
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer[8]:ALn,175767
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer[8]:CLK,175379
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer[8]:D,175158
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer[8]:EN,174890
UART_Protocol_1/UART_TX_Protocol_0/Fifo_Read_Data_Buffer[8]:Q,175379
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Threshold_Comparator.un1_input_data_cry_1:A,1933
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Threshold_Comparator.un1_input_data_cry_1:B,1925
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Threshold_Comparator.un1_input_data_cry_1:CC,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Threshold_Comparator.un1_input_data_cry_1:P,1925
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Threshold_Comparator.un1_input_data_cry_1:Y3,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Threshold_Comparator.un1_input_data_cry_1:Y3A,2012
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:B,174965
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:C,172993
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:CC,173084
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:P,172993
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:S,173084
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:Y3,
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI54QO8[2]:Y3A,
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r[0]:ALn,2833
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r[0]:CLK,760
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r[0]:D,1045
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r[0]:EN,2834
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r[0]:Q,760
Controler_0/Command_Decoder_0/AE_CMD_Data[18]:ALn,2833
Controler_0/Command_Decoder_0/AE_CMD_Data[18]:CLK,-158
Controler_0/Command_Decoder_0/AE_CMD_Data[18]:D,1258
Controler_0/Command_Decoder_0/AE_CMD_Data[18]:EN,3598
Controler_0/Command_Decoder_0/AE_CMD_Data[18]:Q,-158
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_gray_fwft[2]:ALn,175093
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_gray_fwft[2]:CLK,
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_gray_fwft[2]:D,175429
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr_gray_fwft[2]:Q,
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[24]:ALn,2833
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[24]:CLK,742
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[24]:D,9
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[24]:Q,742
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/finite_event_counter[24]:SLn,1056
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[5]:ALn,2833
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[5]:CLK,-602
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[5]:D,2687
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[5]:EN,2504
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.rptr[5]:Q,-602
UART_Protocol_0/UART_TX_Protocol_0/state_reg_RNO[9]:A,175428
UART_Protocol_0/UART_TX_Protocol_0/state_reg_RNO[9]:B,175427
UART_Protocol_0/UART_TX_Protocol_0/state_reg_RNO[9]:Y,175427
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[34]:ALn,2833
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[34]:CLK,3222
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[34]:D,1248
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[34]:EN,713
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/middle_dout[34]:Q,3222
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[36]:A,2058
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[36]:B,2024
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[36]:C,1722
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[36]:D,1682
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[36]:Y,1682
UART_Protocol_0/UART_RX_Protocol_0/Diag_Valid_0_i_a2_4_RNI3IKV:A,170360
UART_Protocol_0/UART_RX_Protocol_0/Diag_Valid_0_i_a2_4_RNI3IKV:B,169548
UART_Protocol_0/UART_RX_Protocol_0/Diag_Valid_0_i_a2_4_RNI3IKV:C,170367
UART_Protocol_0/UART_RX_Protocol_0/Diag_Valid_0_i_a2_4_RNI3IKV:D,171134
UART_Protocol_0/UART_RX_Protocol_0/Diag_Valid_0_i_a2_4_RNI3IKV:Y,169548
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_0_sqmuxa_3_0_10:A,709
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_0_sqmuxa_3_0_10:B,672
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_0_sqmuxa_3_0_10:C,606
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_0_sqmuxa_3_0_10:D,561
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/memraddr_r_0_sqmuxa_3_0_10:Y,561
Controler_0/Command_Decoder_0/counter_cry[20]:B,2733
Controler_0/Command_Decoder_0/counter_cry[20]:CC,2563
Controler_0/Command_Decoder_0/counter_cry[20]:P,2733
Controler_0/Command_Decoder_0/counter_cry[20]:S,2563
Controler_0/Command_Decoder_0/counter_cry[20]:Y3,
Controler_0/Command_Decoder_0/counter_cry[20]:Y3A,
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/REN_d1:ALn,2833
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/REN_d1:CLK,3039
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/REN_d1:D,2844
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/REN_d1:Q,3039
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/RDATA_r[34]:ALn,2833
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/RDATA_r[34]:CLK,1978
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/RDATA_r[34]:D,2101
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/RDATA_r[34]:EN,2630
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/RDATA_r[34]:Q,1978
UART_Protocol_1/mko_0/counter_5_axb_4:A,173115
UART_Protocol_1/mko_0/counter_5_axb_4:B,173073
UART_Protocol_1/mko_0/counter_5_axb_4:C,171495
UART_Protocol_1/mko_0/counter_5_axb_4:D,169573
UART_Protocol_1/mko_0/counter_5_axb_4:Y,169573
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.wptr[6]:ALn,2833
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.wptr[6]:CLK,1649
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.wptr[6]:D,1875
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.wptr[6]:EN,2047
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.wptr[6]:Q,1649
Data_Block_0/Test_Generator_0/Test_Data_6[10]:ALn,2833
Data_Block_0/Test_Generator_0/Test_Data_6[10]:CLK,2089
Data_Block_0/Test_Generator_0/Test_Data_6[10]:D,2258
Data_Block_0/Test_Generator_0/Test_Data_6[10]:Q,2089
UART_Protocol_1/UART_TX_Protocol_0/UART_TX_Data_0_iv_0[7]:A,175476
UART_Protocol_1/UART_TX_Protocol_0/UART_TX_Data_0_iv_0[7]:B,175439
UART_Protocol_1/UART_TX_Protocol_0/UART_TX_Data_0_iv_0[7]:C,174555
UART_Protocol_1/UART_TX_Protocol_0/UART_TX_Data_0_iv_0[7]:D,174457
UART_Protocol_1/UART_TX_Protocol_0/UART_TX_Data_0_iv_0[7]:Y,174457
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Threshold_Comparator.un1_input_data_cry_8:A,2090
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Threshold_Comparator.un1_input_data_cry_8:B,2090
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Threshold_Comparator.un1_input_data_cry_8:CC,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Threshold_Comparator.un1_input_data_cry_8:P,2090
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Threshold_Comparator.un1_input_data_cry_8:Y3,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Threshold_Comparator.un1_input_data_cry_8:Y3A,2153
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_4:A,2006
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_4:B,2004
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_4:CC,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_4:P,2004
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_4:Y3,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_4:Y3A,2087
UART_Protocol_1/UART_RX_Protocol_0/First_Nibble_Value[1]:ALn,175093
UART_Protocol_1/UART_RX_Protocol_0/First_Nibble_Value[1]:CLK,173723
UART_Protocol_1/UART_RX_Protocol_0/First_Nibble_Value[1]:D,176218
UART_Protocol_1/UART_RX_Protocol_0/First_Nibble_Value[1]:EN,176048
UART_Protocol_1/UART_RX_Protocol_0/First_Nibble_Value[1]:Q,173723
Controler_0/ADI_SPI_0/data_counter[12]:ALn,2833
Controler_0/ADI_SPI_0/data_counter[12]:CLK,-1269
Controler_0/ADI_SPI_0/data_counter[12]:D,-1124
Controler_0/ADI_SPI_0/data_counter[12]:EN,2768
Controler_0/ADI_SPI_0/data_counter[12]:Q,-1269
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/RDATA_r[26]:ALn,2833
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/RDATA_r[26]:CLK,3185
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/RDATA_r[26]:D,2005
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/RDATA_r[26]:EN,2676
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/RDATA_r[26]:Q,3185
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][8]:ALn,175093
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][8]:CLK,172812
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][8]:D,176230
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/shift_mem_reg[1][8]:Q,172812
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:A,173222
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:B,173250
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:C,173090
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:CC,
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:D,172984
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:P,173816
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:Y,172984
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:Y3,
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/genblk10.memwaddr_r_RNI56QP4[0]:Y3A,
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:A,2657
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:B,2524
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:C,2464
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:CC,2901
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:P,2464
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:S,2901
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:Y3,
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/sc_r_RNIJJVF1[0]:Y3A,2538
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_5:A,2094
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_5:B,2094
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_5:CC,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_5:P,2094
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_5:Y3,
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Threshold_Comparator.un1_input_data_cry_5:Y3A,2152
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/int_MEMRD_fwft_1[8]:A,174444
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/int_MEMRD_fwft_1[8]:B,174588
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/int_MEMRD_fwft_1[8]:C,172570
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/int_MEMRD_fwft_1[8]:D,174252
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/int_MEMRD_fwft_1[8]:Y,172570
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:B,2223
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:C,2598
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:CC,2531
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:P,2223
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:S,2531
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:Y3,
Data_Block_0/Test_Generator_0/Test_Counter.Test_Data_5_4_cry_4:Y3A,
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/COREFIFO_C3_COREFIFO_C3_0_LSRAM_top_R0C1/CFG_33:B,2743
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/COREFIFO_C3_COREFIFO_C3_0_LSRAM_top_R0C1/CFG_33:C,2666
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/COREFIFO_C3_COREFIFO_C3_0_LSRAM_top_R0C1/CFG_33:IPB,2743
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/COREFIFO_C3_COREFIFO_C3_0_LSRAM_top_R0C1/CFG_33:IPC,2666
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/COREFIFO_C3_COREFIFO_C3_0_LSRAM_top_R0C1/CFG_33:IPD,
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_bin_sync2[7]:ALn,2833
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_bin_sync2[7]:CLK,-605
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_bin_sync2[7]:D,3002
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/wptr_bin_sync2[7]:Q,-605
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[22]:A,2138
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[22]:B,2328
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[22]:C,258
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[22]:D,1946
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/int_MEMRD_fwft_1[22]:Y,258
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[39]:A,2000
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[39]:B,1966
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[39]:C,1664
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[39]:D,1624
Controler_0/Communication_CMD_MUX_0/CMD_Fifo_Write_Data[39]:Y,1624
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/bin_out_10_0_a2[2]:A,174681
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/bin_out_10_0_a2[2]:B,174637
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/bin_out_10_0_a2[2]:C,172812
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/bin_out_10_0_a2[2]:Y,172812
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/read_data_frame_13_iv_3[0]:A,2320
