Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,Chip Globals,PLL
Controler_0/gpio_controler_0/Primitives,359,252,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/Primitives,35,36,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/genblk16.U_corefifo_async/Primitives,140,113,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,28,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/genblk16.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,28,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0
Data_Block_0/COREFIFO_C10_0/COREFIFO_C10_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,576,576,0,0,16,0,0
Data_Block_0/Communication_Builder_0/Primitives,293,277,0,0,0,0,0,0,0
Data_Block_0/Event_Info_RAM_Block_0/PF_DPSRAM_C7_0_Event_Start_ADDR/PF_DPSRAM_C7_0/Primitives,0,0,36,36,0,0,1,0,0
Data_Block_0/Event_Info_RAM_Block_0/PF_DPSRAM_C7_1_Event_Number/PF_DPSRAM_C7_0/Primitives,0,0,36,36,0,0,1,0,0
Data_Block_0/Event_Info_RAM_Block_0/PF_DPSRAM_C7_2_Event_Size/PF_DPSRAM_C7_0/Primitives,0,0,36,36,0,0,1,0,0
Data_Block_0/Event_Info_RAM_Block_0/PF_DPSRAM_C8_Event_Status_0/PF_DPSRAM_C8_Event_Status_0/Primitives,0,0,36,36,0,0,1,0,0
Data_Block_0/FIFOs_Reader_0/Primitives,243,78,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0/COREFIFO_C4_0/Primitives,14,27,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,102,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,18,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_0/COREFIFO_C4_0/Primitives,14,26,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_0/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,101,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_0/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,19,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_0/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_1/COREFIFO_C4_0/Primitives,14,26,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_1/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,101,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_1/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,19,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_1/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_2/COREFIFO_C4_0/Primitives,14,26,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_2/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,101,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_2/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,19,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/COREFIFO_C4_0_2/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_0/Trigger_Unit_0/Primitives,14,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/Trigger_Unit_1/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/Trigger_Unit_2/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_0/Trigger_Unit_3/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0/COREFIFO_C4_0/Primitives,14,15,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,102,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,18,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_0/COREFIFO_C4_0/Primitives,14,14,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_0/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,101,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_0/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,19,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_0/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_1/COREFIFO_C4_0/Primitives,14,14,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_1/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,101,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_1/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,19,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_1/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_2/COREFIFO_C4_0/Primitives,14,14,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_2/COREFIFO_C4_0/genblk16.fifo_corefifo_sync_scntr/Primitives,101,62,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_2/COREFIFO_C4_0/genblk17.u_corefifo_fwft/Primitives,19,28,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/COREFIFO_C4_0_2/COREFIFO_C4_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,432,432,0,0,12,0,0
Data_Block_0/Input_Data_Part_1/Trigger_Unit_0/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/Trigger_Unit_1/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/Trigger_Unit_2/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Input_Data_Part_1/Trigger_Unit_3/Primitives,14,31,0,0,0,0,0,0,0
Data_Block_0/Sample_RAM_Block_0/PF_DPSRAM_C5_0/PF_DPSRAM_C5_0/Primitives,52,0,6912,6912,0,0,192,0,0
Data_Block_0/Sample_RAM_Block_0/PF_DPSRAM_C5_0_0/PF_DPSRAM_C5_0/Primitives,52,0,6912,6912,0,0,192,0,0
Data_Block_0/Sample_RAM_Block_0/PF_DPSRAM_C5_0_1/PF_DPSRAM_C5_0/Primitives,52,0,6912,6912,0,0,192,0,0
Data_Block_0/Sample_RAM_Block_0/PF_DPSRAM_C5_0_1_0/PF_DPSRAM_C5_0/Primitives,52,0,6912,6912,0,0,192,0,0
Data_Block_0/Sample_RAM_Block_0/Primitives,72,0,0,0,0,0,0,0,0
Data_Block_0/Sample_RAM_Block_0/Sample_RAM_Block_Decoder_0/Primitives,4,0,0,0,0,0,0,0,0
Data_Block_0/Sample_RAM_Block_0/Sample_RAM_Block_MUX_0/Primitives,24,0,0,0,0,0,0,0,0
Data_Block_0/Test_Generator_0/Primitives,73,79,0,0,0,0,0,0,0
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/Primitives,5,5,0,0,0,0,0,0,0
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk16.fifo_corefifo_sync_scntr/Primitives,111,63,0,0,0,0,0,0,0
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk17.u_corefifo_fwft/Primitives,8,8,0,0,0,0,0,0,0
Data_Block_0/Trigger_Top_Part_0/COREFIFO_C5_0/COREFIFO_C5_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/Primitives,312,201,0,0,0,0,0,0,0
Data_Block_0/Trigger_Top_Part_0/Trigger_Main_0/Primitives,99,28,0,0,0,0,0,0,0
Primitives/Primitives,4,0,0,0,102,6,0,2,0
Synchronizer_0/Primitives,0,2,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/Primitives,82,83,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Primitives,128,100,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/Primitives,46,84,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/Primitives,34,67,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Primitives,128,101,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/Primitives,38,68,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
UART_Protocol_0/COREFIFO_C6_0/COREFIFO_C6_0/Primitives,4,82,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C6_0/COREFIFO_C6_0/genblk16.fifo_corefifo_sync_scntr/Primitives,60,38,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C6_0/COREFIFO_C6_0/genblk17.u_corefifo_fwft/Primitives,179,84,0,0,0,0,0,0,0
UART_Protocol_0/COREFIFO_C6_0/COREFIFO_C6_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,1,0,0
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/Primitives,1,9,0,0,0,0,0,0,0
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/Primitives,24,19,0,0,0,0,0,0,0
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_RX/Primitives,43,32,0,0,0,0,0,0,0
UART_Protocol_0/COREUART_C0_0/COREUART_C0_0/make_TX/Primitives,20,19,0,0,0,0,0,0,0
UART_Protocol_0/Communication_TX_Arbiter2_0/Primitives,0,7,0,0,0,0,0,0,0
UART_Protocol_0/Primitives,2,0,0,0,0,0,0,0,0
UART_Protocol_0/UART_RX_Protocol_0/Primitives,88,100,0,0,0,0,0,0,0
UART_Protocol_0/UART_TX_Protocol_0/Primitives,95,60,0,0,0,0,0,0,0
UART_Protocol_0/mko_0/Primitives,38,27,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/Primitives,82,83,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Primitives,128,100,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/Primitives,46,84,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_0_0/COREFIFO_C0_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/Primitives,34,67,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Primitives,128,101,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk17.u_corefifo_fwft/Primitives,38,68,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
UART_Protocol_1/COREFIFO_C6_0/COREFIFO_C6_0/Primitives,4,82,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C6_0/COREFIFO_C6_0/genblk16.fifo_corefifo_sync_scntr/Primitives,60,38,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C6_0/COREFIFO_C6_0/genblk17.u_corefifo_fwft/Primitives,179,84,0,0,0,0,0,0,0
UART_Protocol_1/COREFIFO_C6_0/COREFIFO_C6_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,1,0,0
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/Primitives,1,9,0,0,0,0,0,0,0
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_CLOCK_GEN/Primitives,24,19,0,0,0,0,0,0,0
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_RX/Primitives,43,32,0,0,0,0,0,0,0
UART_Protocol_1/COREUART_C0_0/COREUART_C0_0/make_TX/Primitives,20,19,0,0,0,0,0,0,0
UART_Protocol_1/Communication_TX_Arbiter2_0/Primitives,0,7,0,0,0,0,0,0,0
UART_Protocol_1/Primitives,2,0,0,0,0,0,0,0,0
UART_Protocol_1/UART_RX_Protocol_0/Primitives,88,100,0,0,0,0,0,0,0
UART_Protocol_1/UART_TX_Protocol_0/Primitives,95,60,0,0,0,0,0,0,0
UART_Protocol_1/mko_0/Primitives,38,27,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C11_0/COREFIFO_C11_0/Primitives,36,66,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C11_0/COREFIFO_C11_0/genblk16.fifo_corefifo_sync_scntr/Primitives,77,46,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C11_0/COREFIFO_C11_0/genblk17.u_corefifo_fwft/Primitives,38,68,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C11_0/COREFIFO_C11_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/Primitives,82,83,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk16.U_corefifo_async/Primitives,131,101,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync_fwft/Primitives,0,22,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk16.U_corefifo_async/Rd_grayToBinConv_fwft/Primitives,10,0,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk17.u_corefifo_fwft/Primitives,46,84,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C7_0/COREFIFO_C7_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/Primitives,36,36,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/genblk16.U_corefifo_async/Primitives,151,113,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/genblk16.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,28,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/genblk16.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/genblk16.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,28,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/genblk16.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0
USB_3_Protocol_0/COREFIFO_C8_0/COREFIFO_C8_0/genblk23.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,576,576,0,0,16,0,0
USB_3_Protocol_0/Communication_TX_Arbiter2_0/Primitives,77,7,0,0,0,0,0,0,0
USB_3_Protocol_0/Synchronizer_0/Primitives,0,2,0,0,0,0,0,0,0
USB_3_Protocol_0/ft601_fifo_interface_0/Primitives,81,41,0,0,0,0,0,0,0
